	standard_concept_name
151	sodium chloride 9 MG/ML Cartridge
152	metronidazole 400 MG
153	azatadine maleate 1 MG / pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Trinalin Repetabs Tablets]
154	calcium dobesilate 375 MG
155	loratadine 10 MG Disintegrating Oral Tablet [Dimetapp ND]
156	allantoin 0.01 MG/MG / camphor 0.005 MG/MG / menthol 0.006 MG/MG / phenol 0.005 MG/MG Topical Ointment
157	sodium chloride 30 MG/ML Nasal Spray [ENTsol]
158	dextromethorphan hydrobromide 7.5 MG/ML / guaifenesin 88 MG/ML / phenylephrine hydrochloride 2.5 MG/ML Oral Solution
159	pitavastatin magnesium 1 MG Oral Tablet
160	1 ML pentazocine 30 MG/ML Injection [Talwin]
161	ranitidine 150 MG Oral Tablet
162	12 HR pseudoephedrine hydrochloride 120 MG Extended Release Oral Tablet [Sudafed]
163	citalopram 10 MG Oral Tablet [Celexa]
164	rofecoxib 25 MG Oral Tablet
165	brompheniramine maleate 0.6 MG/ML / dextromethorphan hydrobromide 6 MG/ML / pseudoephedrine hydrochloride 10 MG/ML Oral Solution
166	theophylline 300 MG Extended Release Oral Tablet
167	venlafaxine 75 MG Oral Tablet [Effexor]
168	fluticasone propionate 0.1 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler [Advair]
169	polymyxin B 10000 UNT/ML / trimethoprim 1 MG/ML Ophthalmic Solution
170	20 ML potassium chloride 2 MEQ/ML Injection
171	{2 (thyrotropin alfa 1.1 MG Injection [Thyrogen]) } Pack [Thyrogen Kit]
172	lactulose 667 MG/ML Oral Solution [Heptalac]
173	sodium hyaluronate 10 MG/ML Injectable Solution
174	chlorthalidone 25 MG Oral Tablet [Hydone Tablet]
175	dexamethasone 0.7 MG Drug Implant
176	Bacillus coagulans 25000000 UNT / Lactobacillus acidophilus 35000000 UNT Oral Tablet
177	prednisolone acetate 10 MG/ML Ophthalmic Suspension [Econopred Plus]
178	bismuth subcitrate 140 MG / metronidazole 125 MG / tetracycline hydrochloride 125 MG Oral Capsule
179	erythromycin 0.02 MG/MG Topical Ointment [Aknemycin]
180	24 HR verapamil hydrochloride 180 MG Extended Release Oral Tablet
181	0.05 ML ranibizumab 6 MG/ML Injection
182	30 ACTUAT umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler
183	tipiracil 6.14 MG / trifluridine 15 MG Oral Tablet
184	paroxetine Oral Tablet
185	levetiracetam 250 MG Oral Tablet [Roweepra]
186	5 ML ephedrine sulfate 5 MG/ML Prefilled Syringe
187	quetiapine 100 MG
188	desipramine hydrochloride 100 MG
189	fexofenadine hydrochloride 120 MG Oral Tablet [Allegra]
190	lisdexamfetamine dimesylate 20 MG Chewable Tablet [Vyvanse]
191	pitavastatin magnesium 4 MG Oral Tablet
192	erythromycin estolate 400 MG
193	Lactobacillus acidophilus / pectin Oral Capsule
194	acetaminophen 24 MG/ML Oral Solution
195	calcium carbonate 364 MG / sodium fluoride 8.3 MG Oral Capsule [Florical]
196	5 ML dopamine hydrochloride 160 MG/ML Injection
197	progesterone 0.04 MG/MG
198	hydrochlorothiazide 50 MG / triamterene 75 MG [Maxzide]
199	aspirin 180 MG
200	verapamil hydrochloride 240 MG [Verelan]
201	sodium fluoride 0.5 MG/ML Mouthwash
202	aspirin 300 MG
203	1 ML hydromorphone hydrochloride 4 MG/ML Prefilled Syringe
204	acetaminophen / butalbital / caffeine Oral Capsule [Fioricet]
205	polythiazide 0.5 MG / prazosin 1 MG Oral Capsule [Minizide]
206	amoxicillin 250 MG / clavulanate 125 MG [Augmentin]
207	cysteamine
208	amiloride hydrochloride 5 MG Oral Tablet
209	carisoprodol 350 MG Oral Tablet [Soma]
210	dipyridamole 10 MG Injectable Solution
211	acetylcysteine 500 MG Oral Tablet
212	zolpidem tartrate 6.25 MG Extended Release Oral Tablet [Ambien]
213	Oxacillin 250 MG Injectable Solution
214	fluorometholone
215	flecainide acetate 150 MG Oral Tablet
216	atomoxetine 100 MG Oral Capsule
217	prochlorperazine 5 MG/ML Injectable Solution
218	168 HR estradiol 0.00156 MG/HR Transdermal System
219	glipizide 5 MG Oral Tablet [Glucotrol]
220	temazepam 7.5 MG Oral Capsule [Restoril]
221	sodium chloride 30 MG/ML Inhalation Solution [Nebusal]
222	0.5 ML measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 25000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML Injection [M-M-R II]
223	ampicillin 2000 MG / sulbactam 1000 MG Injection [Unasyn]
224	168 HR estradiol 0.00312 MG/HR Transdermal System [Climara]
225	rosiglitazone
226	tiagabine
227	biotin 2.5 MG Oral Tablet [Lexinal]
228	pramlintide
229	24 HR propranolol hydrochloride 120 MG Extended Release Oral Capsule [InnoPran]
230	guaifenesin 120 MG
231	folic acid 2 MG
232	acetaminophen 80 MG [Tylenol]
233	30/70 Release 24 HR methylphenidate hydrochloride 20 MG Extended Release Oral Capsule
234	5 ML atracurium besylate 10 MG/ML Injection
235	butenafine hydrochloride 10 MG/ML Topical Cream [Mentax]
236	eslicarbazepine
237	folic acid 1 MG / iron polysaccharide 150 MG / vitamin B12 0.025 MG Oral Capsule
238	chlorthalidone 25 MG Oral Tablet [Thalitone]
239	buspirone hydrochloride 30 MG [Buspar]
240	doxycycline monohydrate 150 MG Oral Tablet
241	abobotulinumtoxinA 500 UNT Injection
242	Lactobacillus acidophilus 75000000 UNT / pectin 100 MG Oral Capsule
243	nitroglycerin 0.5 MG
244	lysine 500 MG
245	benzocaine 15 MG / menthol 4 MG Oral Lozenge
246	penicillin V potassium 250 MG Oral Tablet [PC Pen VK]
247	hydrocortisone 10 MG/ML Topical Cream [Efcortelan]
248	20 ML ziconotide acetate 0.025 MG/ML Injection [Prialt]
249	chondroitin sulfates 400 MG / glucosamine hydrochloride 500 MG Oral Tablet [Cosamin]
250	hyoscyamine sulfate 0.12 MG / methenamine 120 MG / methylene blue 10 MG / sodium phosphate, monobasic 40.8 MG Oral Capsule
251	chloroxylenol 1 MG/ML / hydrocortisone 10 MG/ML / pramoxine hydrochloride 10 MG/ML Topical Lotion [Cortane-B]
252	oritavancin Injection
253	lactic acid 25 MG/ML / urea 50 MG/ML Topical Lotion
254	salicylic acid 0.17 MG/MG Topical Gel [Veraciti]
255	benzoyl peroxide 0.08 MG/MG Topical Gel [Brevoxyl]
256	brompheniramine maleate 4 MG / phenylephrine hydrochloride 10 MG Oral Tablet
257	amoxicillin 875 MG Oral Tablet
258	hyaluronic acid 1 MG
259	dorzolamide 20 MG/ML Ophthalmic Solution
260	cholecalciferol 1.25 MG Oral Capsule
261	lubiprostone 0.024 MG Oral Capsule
262	canagliflozin 100 MG Oral Tablet [Invokana]
263	24 HR felodipine 5 MG Extended Release Oral Tablet
264	amlodipine 2.5 MG Oral Tablet [Norvasc]
265	10 ML methocarbamol 100 MG/ML Injection
266	2 ML ketorolac tromethamine 30 MG/ML Cartridge
267	polyethylene glycol 3350 17000 MG Powder for Oral Solution [ClearLax]
268	fentanyl Injectable Solution
269	1 ML erenumab-aooe 70 MG/ML Auto-Injector [Aimovig]
270	24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Cartia]
271	guaifenesin 20 MG/ML Oral Solution [Guiatuss]
272	oxazepam
273	sugammadex
274	azithromycin 600 MG Oral Tablet [Zithromax]
275	propoxyphene
276	8 HR methylphenidate hydrochloride 20 MG Extended Release Oral Tablet [Methylin]
277	hydrochlorothiazide 100 MG Oral Tablet [HydroDIURIL]
278	riboflavin 400 MG Oral Capsule
279	clotrimazole 10 MG/ML Topical Cream [Cruex Antifungal]
280	168 HR estradiol 0.0025 MG/HR Transdermal System
281	enalapril maleate 10 MG
282	tiagabine hydrochloride 4 MG [Gabitril]
283	prednisone 2 MG Delayed Release Oral Tablet
284	hydrocodone bitartrate 5 MG / ibuprofen 200 MG Oral Tablet
285	diphenhydramine Oral Solution [Zzzquil]
286	glyburide 6 MG
287	chlorpheniramine 1 MG
288	bisoprolol 5 MG
289	chlophedianol hydrochloride 2.5 MG/ML / pseudoephedrine hydrochloride 6 MG/ML / pyrilamine maleate 2.5 MG/ML Oral Solution
290	acyclovir 400 MG Oral Tablet [Virovir]
291	doxycycline hyclate 0.1 MG/MG
292	trifluoperazine 2 MG
293	acetaminophen 500 MG Oral Tablet [Mardol]
294	20 ML Propofol 10 MG/ML Prefilled Syringe
295	guaifenesin 20 MG/ML Oral Solution [Extussive]
296	oxymorphone hydrochloride 20 MG Extended Release Oral Tablet
297	hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet
298	thiamine 100 MG Injectable Solution
299	meropenem
300	dextromethorphan
301	ethacrynate sodium 50 MG Injection
302	ofloxacin 3 MG/ML Ophthalmic Solution [Ocuflox]
303	dextroamphetamine sulfate 15 MG Extended Release Oral Capsule
304	remifentanil 5 MG Injection
305	saxagliptin 5 MG Oral Tablet [Onglyza]
306	1 ML meperidine hydrochloride 50 MG/ML Injection [Demerol]
307	desonide 0.5 MG/ML Topical Lotion [Verdeso]
308	avanafil 100 MG Oral Tablet [Stendra]
309	calcium carbonate 750 MG / simethicone 80 MG Chewable Tablet
310	morphine sulfate 100 MG Extended Release Oral Tablet [Morphabond]
311	sodium bicarbonate Injectable Solution
312	buspirone hydrochloride 10 MG [Buspar]
313	168 HR estradiol 0.00208 MG/HR Transdermal System [Climara]
314	aspirin 500 MG Delayed Release Oral Tablet
315	temazepam 15 MG
316	5 ML atropine sulfate 0.4 MG/ML Prefilled Syringe
317	diphenhydramine hydrochloride 2.5 MG/ML Oral Solution [Benadryl]
318	salicylic acid 5 MG/ML Topical Solution
319	potassium bicarbonate 10 MEQ Effervescent Oral Tablet [Effer-K]
320	sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet [Comox]
321	cefadroxil 1000 MG Oral Tablet [Duricef]
322	doxepin hydrochloride 10 MG/ML Oral Solution [Sinequan]
323	acrivastine
324	dexamethasone 0.5 MG Oral Tablet [Decadron]
325	urea 400 MG/ML Topical Cream [Vanamide]
326	estradiol 0.00208 MG/HR / norethindrone acetate 0.0104 MG/HR Transdermal System
327	metoprolol tartrate 50 MG Oral Tablet [Betaloc]
328	ramipril 1.25 MG Oral Tablet
329	halcinonide 1 MG/ML Topical Cream
330	lidocaine 0.04 MG/MG Topical Gel [Mericaine Reformulated Oct 2015]
331	atenolol 25 MG / nifedipine 10 MG Oral Tablet
332	linezolid 600 MG [Zyvox]
333	dolasetron 100 MG Oral Tablet
334	hydrocortisone acetate 20 MG/ML / lidocaine hydrochloride 20 MG/ML Rectal Cream [Peranex]
335	theophylline 400 MG
336	aspirin 500 MG / citric acid 1000 MG / sodium bicarbonate 1985 MG Effervescent Oral Tablet [Alka-Seltzer]
337	miconazole nitrate 0.02 MG/MG [Micatin]
338	pseudoephedrine hydrochloride 6 MG/ML / triprolidine hydrochloride 0.25 MG/ML Oral Solution [A-Phedrin]
339	sulfacetamide sodium 98 MG/ML / sulfur 48 MG/ML Medicated Pad [Plexion]
340	sennosides, USP Oral Tablet
341	erythromycin 0.02 MG/MG [Emgel]
342	zinc gluconate 35 MG
343	carvedilol
344	nortriptyline 50 MG Oral Capsule
345	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
346	haloperidol 5 MG/ML Injectable Solution
347	brivaracetam
348	imipenem
349	1 ML morphine sulfate 2 MG/ML Injection
350	capsaicin 0.00025 MG/MG Medicated Patch
351	0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax]
352	cephalexin 50 MG/ML Oral Suspension [Panixine DisperDose]
353	250 ML mannitol 200 MG/ML Injection
354	nebivolol 2.5 MG Oral Tablet [Bystolic]
355	triazolam 0.125 MG Oral Tablet [Halcion]
356	28 ACTUAT tiotropium 0.0025 MG/ACTUAT Inhalation Spray
357	tetrahydrozoline
358	prednisone 2.5 MG
359	diltiazem hydrochloride 30 MG [Cardizem]
360	zinc oxide 0.25 MG/MG Paste
361	phenytoin sodium 100 MG Oral Capsule [Di-Phen]
362	Chlorhexidine Injectable Solution
363	terazosin 10 MG [Hytrin]
364	ondansetron 24 MG Oral Tablet
365	{14 (cenobamate 12.5 MG Oral Tablet) / 14 (cenobamate 25 MG Oral Tablet) } Pack
366	ranitidine Injectable Solution
367	sulfacetamide sodium 100 MG/ML / sulfur 45 MG/ML Medicated Liquid Soap [Rosula]
368	20 ML baclofen 2 MG/ML Injection [Gablofen]
369	glyburide 2.5 MG [Micronase]
370	benzoyl peroxide 52.5 MG/ML Medicated Liquid Soap
371	urea 0.5 MG/MG Topical Gel [Keralac]
372	opicapone 25 MG Oral Capsule
373	poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML Prefilled Syringe
374	diazepam 0.5 MG/ML
375	Abuse-Deterrent oxycodone hydrochloride 5 MG Oral Tablet [Roxybond]
376	ondansetron 24 MG
377	ganciclovir 4.5 MG Drug Implant
378	meclizine hydrochloride 32 MG Oral Tablet
379	{7 (24 HR memantine hydrochloride 14 MG Extended Release Oral Capsule [Namenda]) / 7 (24 HR memantine hydrochloride 21 MG Extended Release Oral Capsule [Namenda]) / 7 (24 HR memantine hydrochloride 28 MG Extended Release Oral Capsule [Namenda]) / 7 (24...
380	guaifenesin 525 MG / pseudoephedrine hydrochloride 50 MG Extended Release Oral Tablet
381	labetalol hydrochloride 200 MG Oral Tablet
382	esomeprazole 20 MG Delayed Release Oral Capsule
383	{3 (15000 MG) (nystatin 100 UNT/MG Topical Powder) } Pack
384	omeprazole 20 MG Oral Tablet
385	vancomycin 1250 MG Injection
386	hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension
387	phenobarbital 15 MG Oral Tablet
388	24 HR desvenlafaxine 100 MG Extended Release Oral Tablet
389	bacitracin 0.5 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Topical Ointment
390	methylprednisolone 125 MG Injection [Solu-Medrol]
391	erythromycin ethylsuccinate 80 MG/ML Oral Suspension
392	24 HR phentermine 15 MG / topiramate 92 MG Extended Release Oral Capsule [Qsymia]
393	dexamethasone 1 MG/ML / tobramycin 3 MG/ML Ophthalmic Suspension [Tobradex]
394	hydroxyzine hydrochloride 10 MG Oral Tablet [Rezine]
395	aliskiren 300 MG / valsartan 320 MG Oral Tablet [Valturna]
396	indapamide 1.25 MG Oral Tablet [Lozol]
397	cilastatin 250 MG/ML / imipenem 250 MG/ML Injectable Solution
398	quinapril 20 MG [Accupril]
399	lorazepam 1 MG [Ativan]
400	tamsulosin hydrochloride 0.4 MG [Flomax]
401	ketoconazole 0.02 MG/MG
402	thiamine 100 MG
403	niacin 250 MG Oral Tablet
404	bromfenac 0.9 MG/ML Ophthalmic Solution [Xibrom]
405	buprenorphine 0.6 MG Buccal Film [Belbuca]
406	sodium fluoride 2.2 MG Chewable Tablet [Epiflur]
407	fenofibrate 200 MG Oral Capsule [Tricor]
408	erythromycin estolate 25 MG/ML Oral Suspension
409	0.5 ML hepatitis B surface antigen vaccine 0.04 MG/ML Injection [Heplisav-B]
410	nefazodone hydrochloride 100 MG
411	vitamin A 1250 UNT
412	gemfibrozil 300 MG
413	benzoyl peroxide 30 MG/ML Medicated Liquid Soap
414	methadone hydrochloride 40 MG Tablet for Oral Suspension [Methadose]
415	cetirizine hydrochloride 1 MG/ML [Zyrtec]
416	ibuprofen 400 MG Oral Tablet [Saleto-400]
417	prednisone 10 MG [Deltasone]
418	diazepam 6 MG
419	zinc sulfate 10 MG
420	carbamazepine 100 MG Oral Tablet [Tegretol]
421	chloramphenicol 100 MG/ML Injectable Solution
422	ciprofloxacin 2 MG/ML Injection
423	hydrochlorothiazide 12.5 MG / lisinopril 10 MG [Prinzide]
424	human-bovine reassortant rotavirus strain G1 vaccine 1100000 UNT/ML / human-bovine reassortant rotavirus strain G2 vaccine 1400000 UNT/ML / human-bovine reassortant rotavirus strain G3 vaccine 1100000 UNT/ML / human-bovine reassortant rotavirus strain...
425	activated charcoal 250 MG Oral Tablet
426	ascorbic acid 250 MG / ferrous fumarate 200 MG / folic acid 1 MG / vitamin B12 0.01 MG Oral Capsule [Hematogen]
427	aspirin 770 MG / caffeine 60 MG / orphenadrine citrate 50 MG Oral Tablet [Orphengesic]
428	imiquimod 50 MG/ML Topical Cream
429	amlodipine 10 MG / atorvastatin 10 MG Oral Tablet [Caduet]
430	furosemide 80 MG Oral Tablet [Lasix]
431	24 HR bupropion hydrochloride 450 MG Extended Release Oral Tablet
432	castor oil 950 MG/ML Oral Suspension
433	primidone 250 MG Oral Tablet [Mysoline]
434	fluocinonide
435	adenosine
436	aspirin 81 MG Delayed Release Oral Tablet [Bayer Aspirin]
437	acetaminophen 194 MG / aspirin 227 MG / caffeine 33 MG Oral Tablet
438	24 HR naproxen 500 MG Extended Release Oral Tablet
439	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Lortab]
440	epinastine hydrochloride 0.5 MG/ML Ophthalmic Solution
441	azilsartan medoxomil 40 MG Oral Tablet [Edarbi]
442	indomethacin 50 MG Oral Capsule [Indocin]
443	salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Serevent]
444	budesonide 0.032 MG/ACTUAT Nasal Spray [Rhinocort]
445	ascorbic acid 500 MG Oral Wafer
446	hydrocortisone 500 MG Injection [Solu-Cortef]
447	oxybutynin chloride 10 MG [Ditropan]
448	diltiazem hydrochloride 420 MG [Tiazac]
449	furosemide 20 MG
450	Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine
451	cefixime 400 MG Oral Tablet [Suprax]
